episode,return
175,9.0
176,22.0
177,19.0
178,105.0
179,36.0
180,20.0
181,22.0
182,21.0
183,16.0
184,21.0
185,83.0
186,49.0
187,32.0
188,125.0
189,19.0
190,10.0
191,28.0
192,28.0
193,42.0
194,31.0
195,16.0
196,22.0
197,43.0
198,77.0
199,34.0
200,46.0
201,13.0
202,16.0
203,14.0
204,37.0
205,17.0
206,41.0
207,95.0
208,14.0
209,10.0
210,19.0
211,62.0
212,17.0
213,20.0
214,12.0
215,35.0
216,54.0
217,27.0
218,47.0
219,19.0
220,15.0
221,62.0
222,32.0
223,43.0
224,45.0
225,56.0
226,27.0
227,47.0
228,80.0
229,20.0
230,29.0
231,26.0
232,55.0
233,21.0
234,63.0
235,26.0
236,79.0
237,41.0
238,61.0
239,131.0
240,15.0
241,29.0
242,28.0
243,37.0
244,23.0
245,49.0
246,24.0
247,63.0
248,38.0
249,54.0
250,16.0
251,13.0
252,117.0
253,17.0
254,100.0
255,108.0
256,20.0
257,33.0
258,39.0
259,29.0
260,27.0
261,15.0
262,42.0
263,108.0
264,39.0
265,56.0
266,22.0
267,25.0
268,78.0
269,23.0
270,102.0
271,55.0
272,115.0
273,87.0
274,72.0
275,37.0
276,113.0
277,161.0
278,78.0
279,32.0
280,40.0
281,47.0
282,52.0
283,67.0
284,44.0
285,26.0
286,13.0
287,132.0
288,70.0
289,126.0
290,59.0
291,29.0
292,87.0
293,78.0
294,51.0
295,33.0
296,63.0
297,137.0
298,33.0
299,50.0
300,131.0
301,191.0
302,36.0
303,36.0
304,65.0
305,63.0
306,75.0
307,39.0
308,51.0
309,83.0
310,16.0
311,18.0
312,218.0
313,83.0
314,101.0
315,42.0
316,62.0
317,131.0
318,110.0
319,103.0
320,33.0
321,151.0
322,174.0
323,46.0
324,188.0
325,28.0
326,171.0
327,58.0
328,124.0
329,151.0
330,109.0
331,47.0
332,89.0
333,88.0
334,144.0
335,137.0
336,80.0
337,96.0
338,117.0
339,79.0
340,55.0
341,88.0
342,157.0
343,69.0
344,53.0
345,330.0
346,60.0
347,23.0
348,40.0
349,115.0
350,72.0
351,136.0
352,159.0
353,105.0
354,79.0
355,100.0
356,96.0
357,134.0
358,133.0
359,60.0
360,108.0
361,86.0
362,245.0
363,78.0
364,51.0
365,127.0
366,136.0
367,76.0
368,94.0
369,253.0
370,216.0
371,210.0
372,271.0
373,85.0
374,153.0
375,70.0
376,92.0
377,97.0
378,154.0
379,133.0
380,154.0
381,73.0
382,115.0
383,57.0
384,52.0
385,202.0
386,102.0
387,94.0
388,139.0
389,210.0
390,210.0
391,149.0
392,44.0
393,43.0
394,145.0
395,92.0
396,78.0
397,183.0
398,93.0
399,33.0
400,117.0
401,146.0
402,202.0
403,203.0
404,157.0
405,231.0
406,188.0
407,59.0
408,204.0
409,90.0
410,134.0
411,20.0
412,241.0
413,68.0
414,126.0
415,126.0
416,149.0
417,146.0
418,131.0
419,177.0
420,287.0
421,91.0
422,257.0
423,325.0
424,57.0
425,156.0
426,273.0
427,73.0
428,227.0
429,273.0
430,147.0
431,299.0
432,173.0
433,156.0
434,193.0
435,130.0
436,113.0
437,108.0
438,36.0
439,175.0
440,213.0
441,322.0
442,218.0
443,168.0
444,264.0
445,433.0
446,212.0
447,98.0
448,145.0
449,207.0
450,170.0
451,146.0
452,92.0
453,154.0
454,195.0
455,172.0
456,124.0
457,100.0
458,185.0
459,242.0
460,221.0
461,73.0
462,185.0
463,107.0
464,199.0
465,212.0
466,184.0
467,193.0
468,77.0
469,441.0
470,428.0
471,493.0
472,279.0
473,266.0
474,261.0
475,230.0
476,282.0
477,285.0
478,183.0
479,248.0
480,161.0
481,160.0
482,320.0
483,194.0
484,190.0
485,245.0
486,151.0
487,282.0
488,283.0
489,214.0
490,134.0
491,195.0
492,341.0
493,195.0
494,428.0
495,249.0
496,283.0
497,259.0
498,189.0
499,469.0
