episode,return
346,44.0
347,42.0
348,26.0
349,24.0
350,14.0
351,45.0
352,19.0
353,109.0
354,29.0
355,93.0
356,61.0
357,73.0
358,93.0
359,25.0
360,34.0
361,27.0
362,35.0
363,42.0
364,27.0
365,20.0
366,21.0
367,38.0
368,56.0
369,29.0
370,87.0
371,49.0
372,51.0
373,61.0
374,25.0
375,52.0
376,77.0
377,93.0
378,39.0
379,16.0
380,45.0
381,16.0
382,43.0
383,23.0
384,20.0
385,77.0
386,69.0
387,45.0
388,71.0
389,99.0
390,36.0
391,60.0
392,12.0
393,64.0
394,22.0
395,13.0
396,20.0
397,40.0
398,71.0
399,28.0
400,33.0
401,30.0
402,34.0
403,63.0
404,78.0
405,35.0
406,55.0
407,77.0
408,45.0
409,47.0
410,65.0
411,72.0
412,34.0
413,18.0
414,84.0
415,71.0
416,60.0
417,118.0
418,56.0
419,55.0
420,94.0
421,104.0
422,61.0
423,16.0
424,17.0
425,53.0
426,46.0
427,39.0
428,27.0
429,35.0
430,18.0
431,98.0
432,41.0
433,30.0
434,56.0
435,70.0
436,70.0
437,99.0
438,110.0
439,77.0
440,106.0
441,14.0
442,54.0
443,29.0
444,80.0
445,65.0
446,60.0
447,17.0
448,52.0
449,121.0
450,44.0
451,39.0
452,51.0
453,185.0
454,66.0
455,14.0
456,42.0
457,25.0
458,26.0
459,36.0
460,20.0
461,19.0
462,50.0
463,72.0
464,59.0
465,56.0
466,53.0
467,66.0
468,83.0
469,66.0
470,17.0
471,41.0
472,95.0
473,114.0
474,99.0
475,80.0
476,62.0
477,74.0
478,103.0
479,67.0
480,92.0
481,287.0
482,72.0
483,77.0
484,84.0
485,37.0
486,118.0
487,51.0
488,19.0
489,133.0
490,139.0
491,26.0
492,180.0
493,43.0
494,31.0
495,27.0
496,66.0
497,17.0
498,133.0
499,18.0
