episode,return,mean_trace_magnitude
0,16.0,0.17331558465957642
1,18.0,0.175681933760643
2,13.0,0.16285714507102966
3,37.0,0.07492406666278839
4,28.0,0.2007054090499878
5,13.0,0.23343399167060852
6,19.0,0.18114429712295532
7,28.0,0.12327311187982559
8,21.0,0.19879396259784698
9,29.0,0.22597990930080414
10,16.0,0.2846325635910034
11,18.0,0.20076589286327362
12,16.0,0.31176280975341797
13,13.0,0.21292340755462646
14,11.0,0.15525799989700317
15,23.0,0.2518021762371063
16,11.0,0.26678693294525146
17,13.0,0.08567103743553162
18,19.0,0.24831585586071014
19,34.0,0.1452978253364563
20,11.0,0.19836990535259247
21,10.0,0.19733023643493652
22,20.0,0.3037151098251343
23,17.0,0.29651111364364624
24,18.0,0.16228418052196503
25,16.0,0.1483781933784485
26,18.0,0.10898090898990631
27,23.0,0.2712952792644501
28,17.0,0.21402181684970856
29,15.0,0.2758346498012543
30,15.0,0.33388790488243103
31,9.0,0.11545000970363617
32,12.0,0.3522074222564697
33,24.0,0.28790971636772156
34,40.0,0.161855086684227
35,16.0,0.08844731748104095
36,17.0,0.4250909090042114
37,20.0,0.09818703681230545
38,30.0,0.20221570134162903
39,15.0,0.07843618094921112
40,22.0,0.06002131849527359
41,15.0,0.34094029664993286
42,9.0,0.39356791973114014
43,15.0,0.26061373949050903
44,22.0,0.23727986216545105
45,18.0,0.06038132682442665
46,11.0,0.08982069045305252
47,18.0,0.19661197066307068
48,18.0,0.4562337100505829
49,11.0,0.07927564531564713
50,10.0,0.6023303866386414
51,12.0,0.4261568784713745
52,34.0,0.795062780380249
53,13.0,0.41953131556510925
54,11.0,0.3421376943588257
55,11.0,0.542931854724884
56,16.0,0.13331767916679382
57,13.0,0.49989044666290283
58,19.0,0.17433181405067444
59,18.0,0.39350947737693787
60,30.0,1.1144243478775024
61,14.0,0.26582932472229004
62,14.0,0.5239551663398743
63,16.0,0.02180228754878044
64,19.0,0.045765966176986694
65,11.0,0.4393608570098877
66,8.0,0.5095827579498291
67,21.0,0.030331507325172424
68,27.0,0.029197098687291145
69,24.0,1.057065725326538
70,19.0,0.3026599884033203
71,16.0,0.3884338140487671
72,16.0,0.14582118391990662
73,15.0,0.4923744797706604
74,14.0,0.4127875566482544
75,15.0,0.026280377060174942
76,20.0,0.5520744919776917
77,17.0,0.4119168519973755
78,13.0,0.017318693920969963
79,24.0,0.033202625811100006
80,14.0,0.48969268798828125
81,12.0,0.32242587208747864
82,13.0,0.028674503788352013
83,11.0,0.49127668142318726
84,9.0,0.5141698718070984
85,29.0,1.0863004922866821
86,12.0,0.01376371830701828
87,15.0,0.8409714698791504
88,12.0,0.7308264970779419
89,27.0,0.384162575006485
90,18.0,0.019495557993650436
91,19.0,0.6621243357658386
92,21.0,0.02358754351735115
93,16.0,0.20058231055736542
94,22.0,0.12019780278205872
95,12.0,0.8952921628952026
96,16.0,0.7403473854064941
97,21.0,0.9599776268005371
98,23.0,0.012993898242712021
99,16.0,0.016563203185796738
100,9.0,0.729328989982605
101,13.0,0.6098242998123169
102,36.0,0.9079083204269409
103,16.0,0.010888099670410156
104,26.0,0.36072370409965515
105,23.0,1.123935341835022
106,15.0,1.121779441833496
107,20.0,1.4695234298706055
108,21.0,0.009791322983801365
109,8.0,0.9299908876419067
110,10.0,0.9611591100692749
111,11.0,0.7845871448516846
112,17.0,1.258913278579712
113,16.0,0.009474980644881725
114,10.0,1.550116777420044
115,19.0,1.3697068691253662
116,12.0,1.0460913181304932
117,15.0,1.4567738771438599
118,11.0,1.4249658584594727
119,22.0,1.160784363746643
120,12.0,1.213857889175415
121,10.0,1.1602747440338135
122,17.0,1.5063667297363281
123,9.0,0.9682637453079224
124,12.0,1.3211779594421387
125,19.0,2.310744285583496
126,23.0,0.009169574826955795
127,10.0,2.0921216011047363
128,9.0,1.6756839752197266
129,11.0,1.677225112915039
130,13.0,1.7661994695663452
131,11.0,1.8175315856933594
