episode,return
359,100.0
360,67.0
361,78.0
362,49.0
363,65.0
364,136.0
365,17.0
366,21.0
367,136.0
368,37.0
369,106.0
370,133.0
371,112.0
372,30.0
373,50.0
374,23.0
375,100.0
376,136.0
377,145.0
378,102.0
379,75.0
380,62.0
381,44.0
382,157.0
383,43.0
384,138.0
385,124.0
386,170.0
387,79.0
388,180.0
389,140.0
390,141.0
391,18.0
392,68.0
393,99.0
394,135.0
395,237.0
396,140.0
397,120.0
398,269.0
399,89.0
400,133.0
401,100.0
402,54.0
403,63.0
404,192.0
405,27.0
406,154.0
407,100.0
408,74.0
409,168.0
410,207.0
411,53.0
412,230.0
413,72.0
414,155.0
415,201.0
416,126.0
417,141.0
418,257.0
419,146.0
420,138.0
421,182.0
422,175.0
423,80.0
424,148.0
425,134.0
426,77.0
427,101.0
428,141.0
429,127.0
430,141.0
431,267.0
432,235.0
433,196.0
434,169.0
435,188.0
436,127.0
437,123.0
438,161.0
439,96.0
440,138.0
441,135.0
442,237.0
443,184.0
444,79.0
445,168.0
446,61.0
447,139.0
448,149.0
449,168.0
450,145.0
451,156.0
452,171.0
453,203.0
454,269.0
455,144.0
456,383.0
457,123.0
458,113.0
459,118.0
460,115.0
461,151.0
462,97.0
463,193.0
464,171.0
465,169.0
466,263.0
467,219.0
468,149.0
469,25.0
470,258.0
471,83.0
472,151.0
473,207.0
474,147.0
475,315.0
476,113.0
477,185.0
478,245.0
479,38.0
480,352.0
481,202.0
482,212.0
483,288.0
484,242.0
485,221.0
486,193.0
487,172.0
488,68.0
489,64.0
490,160.0
491,133.0
492,149.0
493,217.0
494,179.0
495,237.0
496,127.0
497,278.0
498,204.0
499,113.0
