episode,return,mean_trace_magnitude
0,30.0,0.19386807084083557
1,75.0,0.27203038334846497
2,22.0,0.18366724252700806
3,23.0,0.24842184782028198
4,34.0,0.0864468663930893
5,21.0,0.15501239895820618
6,13.0,0.16167408227920532
7,14.0,0.22979091107845306
8,23.0,0.10402378439903259
9,34.0,0.127126544713974
10,27.0,0.18292975425720215
11,18.0,0.21058550477027893
12,12.0,0.31305864453315735
13,35.0,0.19273525476455688
14,21.0,0.2985440790653229
15,12.0,0.2747362554073334
16,19.0,0.16575968265533447
17,20.0,0.13401640951633453
18,29.0,0.1851521134376526
19,47.0,0.162947416305542
20,16.0,0.24707159399986267
21,19.0,0.23344221711158752
22,14.0,0.22498157620429993
23,31.0,0.17651355266571045
24,55.0,0.452064573764801
25,12.0,0.2167750895023346
26,18.0,0.23934796452522278
27,12.0,0.2923473119735718
28,13.0,0.20212596654891968
29,11.0,0.1823023110628128
30,38.0,0.282399982213974
31,20.0,0.2915290594100952
32,9.0,0.1907050609588623
33,15.0,0.24585992097854614
34,65.0,0.26909729838371277
35,13.0,0.28521502017974854
36,16.0,0.21990647912025452
37,13.0,0.219543918967247
38,26.0,0.17159517109394073
39,18.0,0.26380982995033264
40,15.0,0.2196522355079651
41,14.0,0.1382272094488144
42,15.0,0.25026366114616394
43,38.0,0.2626733183860779
44,18.0,0.1451025903224945
45,23.0,0.21819829940795898
46,15.0,0.20361477136611938
47,22.0,0.12419998645782471
48,19.0,0.0968046486377716
49,13.0,0.28087127208709717
50,30.0,0.18655268847942352
51,16.0,0.18622015416622162
52,38.0,0.20480182766914368
53,34.0,0.19184885919094086
54,15.0,0.17428317666053772
55,24.0,0.31001701951026917
56,24.0,0.2404082864522934
57,27.0,0.16712543368339539
58,28.0,0.18817271292209625
59,11.0,0.18894612789154053
60,24.0,0.16791895031929016
61,21.0,0.1528480350971222
62,10.0,0.23481838405132294
63,17.0,0.17446500062942505
64,22.0,0.221856027841568
65,28.0,0.23966965079307556
66,34.0,0.16771315038204193
67,17.0,0.07627974450588226
68,29.0,0.29280710220336914
69,19.0,0.1580202877521515
70,23.0,0.15025831758975983
71,9.0,0.23236951231956482
72,15.0,0.16415676474571228
73,20.0,0.11292314529418945
74,28.0,0.2329418957233429
75,12.0,0.1990455836057663
76,17.0,0.31858864426612854
77,14.0,0.184330552816391
78,11.0,0.21420305967330933
79,39.0,0.2010733038187027
80,15.0,0.21114003658294678
81,12.0,0.2005949467420578
82,51.0,0.2572019696235657
83,40.0,0.20005863904953003
84,26.0,0.28965842723846436
85,36.0,0.08795267343521118
86,17.0,0.17398399114608765
87,25.0,0.2797773480415344
88,72.0,0.37709760665893555
89,11.0,0.12974019348621368
90,17.0,0.2970522344112396
91,18.0,0.3535246253013611
92,20.0,0.16451680660247803
93,12.0,0.3700305223464966
94,13.0,0.3137126564979553
95,10.0,0.3222964406013489
96,72.0,0.10005124658346176
97,12.0,0.21927745640277863
98,15.0,0.4088905453681946
99,17.0,0.22048881649971008
100,58.0,0.16513416171073914
101,14.0,0.34286773204803467
102,19.0,0.07565271854400635
103,16.0,0.16629821062088013
104,12.0,0.1362977921962738
105,13.0,0.16285446286201477
106,19.0,0.08175161480903625
107,15.0,0.14851275086402893
108,16.0,0.122371606528759
