episode,return,mean_trace_magnitude
0,34.0,0.17692187428474426
1,19.0,0.21574372053146362
2,28.0,0.163449227809906
3,37.0,0.18623954057693481
4,55.0,0.12194675207138062
5,35.0,0.28611043095588684
6,34.0,0.30015891790390015
7,24.0,0.28274351358413696
8,12.0,0.3553371727466583
9,28.0,0.20099356770515442
10,27.0,0.21707801520824432
11,27.0,0.2469402551651001
12,37.0,0.20761296153068542
13,17.0,0.166361004114151
14,15.0,0.3590080738067627
15,23.0,0.09390369057655334
16,34.0,0.5120891332626343
17,19.0,0.27893760800361633
18,15.0,0.2811564803123474
19,16.0,0.4527939558029175
20,18.0,0.42687153816223145
21,92.0,0.24393047392368317
22,10.0,0.44442296028137207
23,18.0,0.216886505484581
24,49.0,0.2530082166194916
25,16.0,0.25906404852867126
26,20.0,0.3415120840072632
27,36.0,0.34176212549209595
28,10.0,0.5319088101387024
29,10.0,0.40181392431259155
30,31.0,0.12647856771945953
31,21.0,0.324630469083786
32,19.0,0.15401418507099152
33,21.0,0.15139421820640564
34,13.0,0.10418055206537247
35,10.0,0.35828113555908203
36,89.0,0.9985989332199097
37,14.0,0.45384681224823
38,18.0,0.08468308299779892
39,10.0,0.4138643443584442
40,33.0,0.35156118869781494
41,14.0,0.1088917925953865
42,18.0,0.41996312141418457
43,11.0,0.10459859669208527
44,11.0,0.5487441420555115
45,9.0,0.7404196262359619
46,21.0,0.5045726299285889
47,10.0,0.42967554926872253
48,22.0,0.35928720235824585
49,15.0,0.37565603852272034
50,28.0,0.6399844288825989
51,80.0,0.7454656362533569
52,17.0,0.45953989028930664
53,11.0,0.9973287582397461
54,20.0,0.5261815786361694
55,33.0,0.4427763521671295
56,17.0,0.3986985981464386
57,20.0,0.7715916037559509
58,9.0,0.5106359720230103
59,15.0,1.0251015424728394
60,10.0,0.7435939311981201
61,13.0,0.03931264206767082
62,20.0,0.41033658385276794
63,22.0,0.02718490920960903
64,13.0,0.6964360475540161
65,17.0,0.5037424564361572
66,16.0,0.5430834293365479
67,11.0,0.7844574451446533
68,10.0,0.017738495022058487
69,12.0,0.5453915596008301
70,12.0,0.3804401755332947
71,16.0,1.0177868604660034
72,27.0,1.0822522640228271
73,36.0,0.9421787261962891
74,21.0,0.03532768040895462
75,11.0,0.7866225242614746
76,24.0,0.5126222372055054
77,9.0,1.2251466512680054
78,15.0,1.048446774482727
79,29.0,0.009451708756387234
80,17.0,1.304760456085205
81,36.0,1.436189889907837
82,9.0,1.447083830833435
83,13.0,0.5549451112747192
84,13.0,0.8123567700386047
85,21.0,1.6453027725219727
86,11.0,1.4388495683670044
87,25.0,1.513161063194275
88,15.0,1.0250940322875977
89,12.0,0.7654369473457336
90,20.0,0.009011710993945599
91,16.0,1.3676198720932007
92,13.0,0.8015777468681335
93,12.0,0.9803068041801453
94,13.0,1.7809394598007202
95,31.0,3.1732583045959473
96,10.0,2.4043331146240234
97,8.0,1.487991452217102
98,13.0,1.979546308517456
99,18.0,2.4885787963867188
100,9.0,2.068990707397461
101,21.0,4.022861957550049
102,8.0,1.7272875308990479
103,9.0,2.20741605758667
104,8.0,1.7503553628921509
105,13.0,2.3957505226135254
106,10.0,2.7529473304748535
107,10.0,1.960131287574768
108,10.0,2.911013126373291
109,10.0,3.060142755508423
110,11.0,3.8020315170288086
111,8.0,1.850446105003357
112,8.0,1.9430904388427734
113,10.0,3.166607141494751
114,13.0,2.582845687866211
115,10.0,3.2783329486846924
116,9.0,2.6254069805145264
117,9.0,2.6807916164398193
118,12.0,3.4423251152038574
119,10.0,3.536694049835205
120,9.0,2.7610085010528564
121,10.0,3.5633280277252197
122,10.0,3.553562641143799
123,9.0,2.9343674182891846
124,10.0,3.6854171752929688
125,27.0,5.785335540771484
126,8.0,2.2772727012634277
127,9.0,3.1696364879608154
128,8.0,2.4098398685455322
129,9.0,3.3075966835021973
130,11.0,4.870900630950928
131,10.0,4.107517719268799
132,8.0,2.621579170227051
133,9.0,3.321321487426758
134,10.0,4.116643905639648
135,11.0,3.4472663402557373
136,9.0,3.4939446449279785
137,8.0,2.7427709102630615
138,10.0,4.4799909591674805
139,10.0,4.219305992126465
140,10.0,4.644282817840576
141,9.0,3.5191657543182373
142,10.0,4.522623062133789
143,10.0,4.624605178833008
144,8.0,2.8026304244995117
145,9.0,3.9180288314819336
146,10.0,4.399697780609131
147,8.0,2.9140095710754395
148,15.0,5.412703514099121
149,10.0,4.663187026977539
150,10.0,4.981857776641846
151,10.0,4.9820780754089355
152,9.0,4.043987274169922
153,8.0,3.0419540405273438
154,11.0,6.238092422485352
155,10.0,5.130926609039307
156,11.0,6.334081172943115
157,8.0,3.0825729370117188
158,10.0,5.037335395812988
159,8.0,3.2469964027404785
160,8.0,3.2130112648010254
161,9.0,3.89129900932312
162,10.0,5.1070637702941895
163,10.0,5.3828935623168945
164,8.0,3.2498979568481445
165,10.0,5.07847785949707
166,9.0,4.277666091918945
167,10.0,5.600094795227051
168,8.0,3.2532825469970703
169,8.0,3.1413071155548096
170,9.0,4.068856716156006
171,9.0,4.251246452331543
172,10.0,5.151553153991699
173,10.0,5.628734588623047
174,9.0,4.276651382446289
175,10.0,5.3087239265441895
176,11.0,6.777720409445465e-05
177,10.0,5.726078510284424
178,10.0,5.336170673370361
179,8.0,3.222978115081787
180,9.0,4.446185111999512
181,9.0,4.587947368621826
182,8.0,3.2405617237091064
183,9.0,4.355071544647217
184,10.0,5.4848504066467285
185,9.0,4.506571292877197
186,9.0,4.73150110244751
187,10.0,5.75802755355835
188,8.0,3.501629590988159
189,8.0,3.461106300354004
190,8.0,3.4128029346466064
191,9.0,4.565295219421387
192,8.0,3.464540719985962
193,10.0,5.486428260803223
194,9.0,4.534373760223389
195,10.0,5.787771701812744
196,9.0,4.780307769775391
197,8.0,3.412653923034668
198,12.0,5.429574012756348
199,10.0,5.61906099319458
200,10.0,5.81968355178833
201,8.0,3.781431198120117
202,9.0,4.782769203186035
203,10.0,6.135995388031006
204,9.0,4.624980926513672
205,10.0,6.03633975982666
206,10.0,5.996091842651367
207,10.0,5.949263572692871
208,9.0,4.833622932434082
209,9.0,4.638045787811279
210,9.0,4.689997673034668
211,9.0,5.0409440994262695
212,9.0,5.031919479370117
213,9.0,4.871561527252197
214,10.0,6.04152774810791
215,10.0,5.833170413970947
216,10.0,6.028842926025391
217,10.0,5.941999435424805
218,10.0,6.056842803955078
219,10.0,5.885385513305664
220,9.0,4.818092346191406
221,9.0,4.684084415435791
222,10.0,5.746861457824707
223,9.0,4.8323822021484375
224,8.0,3.608588933944702
225,9.0,4.975980281829834
226,10.0,5.833065986633301
227,11.0,7.723608493804932
228,9.0,4.72507381439209
229,10.0,6.295187950134277
230,9.0,4.800360202789307
231,9.0,5.065695285797119
232,10.0,6.329627513885498
233,10.0,6.142953872680664
234,9.0,5.152456760406494
235,10.0,6.012888431549072
236,9.0,4.894843101501465
237,13.0,7.262781620025635
238,9.0,4.882796764373779
239,8.0,3.792520761489868
240,10.0,6.232860565185547
241,9.0,5.1200385093688965
242,9.0,5.0179619789123535
243,9.0,4.901905059814453
244,10.0,6.475131988525391
245,9.0,5.2121357917785645
246,10.0,6.373538017272949
247,10.0,6.084536552429199
248,10.0,5.985724449157715
249,8.0,3.7671422958374023
250,10.0,6.18411922454834
251,10.0,6.389379978179932
252,9.0,5.267973899841309
253,8.0,3.932582139968872
254,11.0,8.08633804321289
255,10.0,6.13737678527832
256,10.0,6.446067810058594
257,9.0,5.05812406539917
258,9.0,5.042959690093994
259,10.0,6.35305118560791
260,9.0,4.941774845123291
261,10.0,6.556612491607666
262,9.0,4.899065017700195
263,10.0,6.454644680023193
264,9.0,5.192276477813721
265,9.0,5.06434965133667
266,10.0,6.06002140045166
267,10.0,6.458223342895508
268,10.0,6.551973342895508
269,11.0,8.012144088745117
270,10.0,6.418426036834717
271,9.0,5.087351322174072
272,10.0,6.451461315155029
273,10.0,6.445647239685059
274,10.0,6.045088768005371
275,8.0,3.845529079437256
276,9.0,5.245652198791504
277,10.0,6.482562065124512
278,9.0,5.037316799163818
279,10.0,6.322371482849121
280,9.0,4.898096084594727
281,11.0,8.214256286621094
282,10.0,6.220442771911621
